lang,term,frequency,category,source_types,is_valid_cognate,is_valid_integrated,is_valid_historical
ast,click,2,new/tech,noun_raw,0,0,0
ast,clicks,8,new/tech,noun_plural_english,0,0,0
ast,faciendo click,1,new/tech,verb_light_construction,0,0,0
ast,post,5,new/tech,noun_raw,0,0,0
ast,postes,5,new/tech,noun_plural_native,0,0,0
ast,posts,1,new/tech,noun_plural_english,0,0,0
ast,chat,3,new/tech,noun_raw,0,0,0
ast,chates,6,new/tech,noun_plural_native,0,0,0
ast,chats,4,new/tech,noun_plural_english,0,0,0
ast,link,5,new/tech,noun_raw,0,0,0
ast,linkes,1,new/tech,noun_plural_native,0,0,0
ast,tag,1,new/tech,noun_raw,0,0,0
ast,tages,3,new/tech,noun_plural_native,0,0,0
ast,tags,2,new/tech,noun_plural_english,0,0,0
ast,tuit,2,new/tech,noun_raw,0,0,0
ast,tuits,4,new/tech,noun_plural_english,0,0,0
ast,escaniar,6,new/tech,verb_morph_prescriptive,0,0,0
ast,escaniáu,5,new/tech,verb_participle_prescriptive,0,0,0
ast,format,2,new/tech,noun_raw,0,0,0
ast,formates,3,new/tech,noun_plural_native,0,0,0
ast,formats,1,new/tech,noun_plural_english,0,0,0
ast,hack,13,new/tech,noun_raw,0,0,0
ast,hackes,1,new/tech,noun_plural_native,0,0,0
ast,hacks,3,new/tech,noun_plural_english,0,0,0
ast,ban,15,new/tech,noun_raw,0,0,0
ast,log,1,new/tech,noun_raw,0,0,0
ast,loges,3,new/tech,noun_plural_native,0,0,0
ast,logs,4,new/tech,noun_plural_english,0,0,0
ast,reset,11,new/tech,noun_raw,0,0,0
ast,downloads,3,new/tech,noun_plural_english,0,0,0
ast,estreames,1,new/tech,noun_plural_native,0,0,0
ast,likes,3,new/tech,noun_plural_native,0,0,0
ast,update,1,new/tech,noun_raw,0,0,0
ast,updates,1,new/tech,noun_plural_native,0,0,0
ast,forward,12,new/tech,noun_raw,0,0,0
ast,forwards,5,new/tech,noun_plural_english,0,0,0
ast,trolles,1,new/tech,noun_plural_native,0,0,0
ast,trolls,6,new/tech,noun_plural_english,0,0,0
ast,server,15,new/tech,noun_raw,0,0,0
ast,servers,2,new/tech,noun_plural_english,0,0,0
ast,cloud,4,new/tech,noun_raw,0,0,0
ast,clouds,5,new/tech,noun_plural_english,0,0,0
