term,target_lang,origin_lang,source_category
backgammon,ast,en,Category:Asturian_terms_borrowed_from_English
filme,ast,en,Category:Asturian_terms_borrowed_from_English
lleva,ast,en,Category:Asturian_terms_borrowed_from_English
líder,ast,en,Category:Asturian_terms_borrowed_from_English
monis,ast,en,Category:Asturian_terms_borrowed_from_English
polu,ast,en,Category:Asturian_terms_borrowed_from_English
tractor,ast,en,Category:Asturian_terms_borrowed_from_English
watt,ast,en,Category:Asturian_terms_borrowed_from_English
Ḥawai,ast,en,Category:Asturian_terms_borrowed_from_English
abadexu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
abandonar,ast,es,Category:Asturian_terms_borrowed_from_Spanish
abetu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
aguacate,ast,es,Category:Asturian_terms_borrowed_from_Spanish
alambre,ast,es,Category:Asturian_terms_borrowed_from_Spanish
Alexandru,ast,es,Category:Asturian_terms_borrowed_from_Spanish
allexar,ast,es,Category:Asturian_terms_borrowed_from_Spanish
arguyu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
arzobispu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
automóvil,ast,es,Category:Asturian_terms_borrowed_from_Spanish
añoranza,ast,es,Category:Asturian_terms_borrowed_from_Spanish
bandera,ast,es,Category:Asturian_terms_borrowed_from_Spanish
brazalete,ast,es,Category:Asturian_terms_borrowed_from_Spanish
bufanda,ast,es,Category:Asturian_terms_borrowed_from_Spanish
cai,ast,es,Category:Asturian_terms_borrowed_from_Spanish
cangrexu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
cerveza,ast,es,Category:Asturian_terms_borrowed_from_Spanish
ciencia,ast,es,Category:Asturian_terms_borrowed_from_Spanish
conciencia,ast,es,Category:Asturian_terms_borrowed_from_Spanish
cucaracha,ast,es,Category:Asturian_terms_borrowed_from_Spanish
cudiar,ast,es,Category:Asturian_terms_borrowed_from_Spanish
cuidáu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
desarrollar,ast,es,Category:Asturian_terms_borrowed_from_Spanish
deuda,ast,es,Category:Asturian_terms_borrowed_from_Spanish
doctor,ast,es,Category:Asturian_terms_borrowed_from_Spanish
Don Quixote,ast,es,Category:Asturian_terms_borrowed_from_Spanish
dotor,ast,es,Category:Asturian_terms_borrowed_from_Spanish
echar,ast,es,Category:Asturian_terms_borrowed_from_Spanish
escuchar,ast,es,Category:Asturian_terms_borrowed_from_Spanish
falda,ast,es,Category:Asturian_terms_borrowed_from_Spanish
furacán,ast,es,Category:Asturian_terms_borrowed_from_Spanish
guai,ast,es,Category:Asturian_terms_borrowed_from_Spanish
güelga,ast,es,Category:Asturian_terms_borrowed_from_Spanish
hacha,ast,es,Category:Asturian_terms_borrowed_from_Spanish
hacia,ast,es,Category:Asturian_terms_borrowed_from_Spanish
haiga,ast,es,Category:Asturian_terms_borrowed_from_Spanish
hospital,ast,es,Category:Asturian_terms_borrowed_from_Spanish
impuestu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
lladriyu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
llevadura,ast,es,Category:Asturian_terms_borrowed_from_Spanish
llexos,ast,es,Category:Asturian_terms_borrowed_from_Spanish
llimitar,ast,es,Category:Asturian_terms_borrowed_from_Spanish
mariposa,ast,es,Category:Asturian_terms_borrowed_from_Spanish
médicu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
nación,ast,es,Category:Asturian_terms_borrowed_from_Spanish
nivel,ast,es,Category:Asturian_terms_borrowed_from_Spanish
ocho,ast,es,Category:Asturian_terms_borrowed_from_Spanish
paella,ast,es,Category:Asturian_terms_borrowed_from_Spanish
pauta,ast,es,Category:Asturian_terms_borrowed_from_Spanish
piraña,ast,es,Category:Asturian_terms_borrowed_from_Spanish
piḥu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
planchar,ast,es,Category:Asturian_terms_borrowed_from_Spanish
plomu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
retrete,ast,es,Category:Asturian_terms_borrowed_from_Spanish
rodiya,ast,es,Category:Asturian_terms_borrowed_from_Spanish
seguridá,ast,es,Category:Asturian_terms_borrowed_from_Spanish
sombriya,ast,es,Category:Asturian_terms_borrowed_from_Spanish
tenedor,ast,es,Category:Asturian_terms_borrowed_from_Spanish
terraza,ast,es,Category:Asturian_terms_borrowed_from_Spanish
tiza,ast,es,Category:Asturian_terms_borrowed_from_Spanish
tostador,ast,es,Category:Asturian_terms_borrowed_from_Spanish
usté,ast,es,Category:Asturian_terms_borrowed_from_Spanish
xamón,ast,es,Category:Asturian_terms_borrowed_from_Spanish
xastre,ast,es,Category:Asturian_terms_borrowed_from_Spanish
zanahoria,ast,es,Category:Asturian_terms_borrowed_from_Spanish
ḥenu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
bridge,eu,en,Category:Basque_terms_borrowed_from_English
copyleft,eu,en,Category:Basque_terms_borrowed_from_English
copyright,eu,en,Category:Basque_terms_borrowed_from_English
dolar,eu,en,Category:Basque_terms_borrowed_from_English
porlan,eu,en,Category:Basque_terms_borrowed_from_English
quark,eu,en,Category:Basque_terms_borrowed_from_English
squash,eu,en,Category:Basque_terms_borrowed_from_English
xanpu,eu,en,Category:Basque_terms_borrowed_from_English
ababor,eu,es,Category:Basque_terms_borrowed_from_Spanish
abade,eu,es,Category:Basque_terms_borrowed_from_Spanish
abadesa,eu,es,Category:Basque_terms_borrowed_from_Spanish
abadia,eu,es,Category:Basque_terms_borrowed_from_Spanish
abakando,eu,es,Category:Basque_terms_borrowed_from_Spanish
abako,eu,es,Category:Basque_terms_borrowed_from_Spanish
abal,eu,es,Category:Basque_terms_borrowed_from_Spanish
abandonu,eu,es,Category:Basque_terms_borrowed_from_Spanish
abangoardismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
abangoardista,eu,es,Category:Basque_terms_borrowed_from_Spanish
abantaila,eu,es,Category:Basque_terms_borrowed_from_Spanish
abarizia,eu,es,Category:Basque_terms_borrowed_from_Spanish
abdikazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
abdomen,eu,es,Category:Basque_terms_borrowed_from_Spanish
abdukzio,eu,es,Category:Basque_terms_borrowed_from_Spanish
abemaria,eu,es,Category:Basque_terms_borrowed_from_Spanish
abenka,eu,es,Category:Basque_terms_borrowed_from_Spanish
abentura,eu,es,Category:Basque_terms_borrowed_from_Spanish
aberrazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
abiazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
abil,eu,es,Category:Basque_terms_borrowed_from_Spanish
abilidade,eu,es,Category:Basque_terms_borrowed_from_Spanish
abioneta,eu,es,Category:Basque_terms_borrowed_from_Spanish
abisal,eu,es,Category:Basque_terms_borrowed_from_Spanish
abisu,eu,es,Category:Basque_terms_borrowed_from_Spanish
abitu,eu,es,Category:Basque_terms_borrowed_from_Spanish
abixoi,eu,es,Category:Basque_terms_borrowed_from_Spanish
ablatibo,eu,es,Category:Basque_terms_borrowed_from_Spanish
ablazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
abolizio,eu,es,Category:Basque_terms_borrowed_from_Spanish
abolizionismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
abolizionista,eu,es,Category:Basque_terms_borrowed_from_Spanish
abonu,eu,es,Category:Basque_terms_borrowed_from_Spanish
aborigen,eu,es,Category:Basque_terms_borrowed_from_Spanish
abortu,eu,es,Category:Basque_terms_borrowed_from_Spanish
abrasio,eu,es,Category:Basque_terms_borrowed_from_Spanish
abrigo,eu,es,Category:Basque_terms_borrowed_from_Spanish
abrigu,eu,es,Category:Basque_terms_borrowed_from_Spanish
absentismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
abside,eu,es,Category:Basque_terms_borrowed_from_Spanish
absolutibo,eu,es,Category:Basque_terms_borrowed_from_Spanish
absolutismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
absolutista,eu,es,Category:Basque_terms_borrowed_from_Spanish
absolutu,eu,es,Category:Basque_terms_borrowed_from_Spanish
absoluzio,eu,es,Category:Basque_terms_borrowed_from_Spanish
absortzio,eu,es,Category:Basque_terms_borrowed_from_Spanish
abstentzio,eu,es,Category:Basque_terms_borrowed_from_Spanish
abstinentzia,eu,es,Category:Basque_terms_borrowed_from_Spanish
abstraktu,eu,es,Category:Basque_terms_borrowed_from_Spanish
abstrakzio,eu,es,Category:Basque_terms_borrowed_from_Spanish
absurdo,eu,es,Category:Basque_terms_borrowed_from_Spanish
Abundio,eu,es,Category:Basque_terms_borrowed_from_Spanish
