term,lemma,lang,type,pos
click,click,ast,noun_raw,NOUN
clickes,click,ast,noun_plural_native,NOUN
clicks,click,ast,noun_plural_english,NOUN
facer click,click,ast,verb_light_construction,VERB
facer un click,click,ast,verb_light_construction,VERB
fizo click,click,ast,verb_light_construction,VERB
fizo un click,click,ast,verb_light_construction,VERB
fai click,click,ast,verb_light_construction,VERB
fai un click,click,ast,verb_light_construction,VERB
facemos click,click,ast,verb_light_construction,VERB
facemos un click,click,ast,verb_light_construction,VERB
faen click,click,ast,verb_light_construction,VERB
faen un click,click,ast,verb_light_construction,VERB
faciendo click,click,ast,verb_light_construction,VERB
faciendo un click,click,ast,verb_light_construction,VERB
fechu click,click,ast,verb_light_construction,VERB
fechu un click,click,ast,verb_light_construction,VERB
cliquiar,click,ast,verb_morph_prescriptive,VERB
cliquiáu,click,ast,verb_participle_prescriptive,VERB
clickiar,click,ast,verb_morph_descriptive,VERB
clickiáu,click,ast,verb_participle_descriptive,VERB
post,post,ast,noun_raw,NOUN
postes,post,ast,noun_plural_native,NOUN
posts,post,ast,noun_plural_english,NOUN
facer post,post,ast,verb_light_construction,VERB
facer un post,post,ast,verb_light_construction,VERB
fizo post,post,ast,verb_light_construction,VERB
fizo un post,post,ast,verb_light_construction,VERB
fai post,post,ast,verb_light_construction,VERB
fai un post,post,ast,verb_light_construction,VERB
facemos post,post,ast,verb_light_construction,VERB
facemos un post,post,ast,verb_light_construction,VERB
faen post,post,ast,verb_light_construction,VERB
faen un post,post,ast,verb_light_construction,VERB
faciendo post,post,ast,verb_light_construction,VERB
faciendo un post,post,ast,verb_light_construction,VERB
fechu post,post,ast,verb_light_construction,VERB
fechu un post,post,ast,verb_light_construction,VERB
postiar,post,ast,verb_morph_prescriptive,VERB
postiáu,post,ast,verb_participle_prescriptive,VERB
chat,chat,ast,noun_raw,NOUN
chates,chat,ast,noun_plural_native,NOUN
chats,chat,ast,noun_plural_english,NOUN
facer chat,chat,ast,verb_light_construction,VERB
facer un chat,chat,ast,verb_light_construction,VERB
fizo chat,chat,ast,verb_light_construction,VERB
fizo un chat,chat,ast,verb_light_construction,VERB
fai chat,chat,ast,verb_light_construction,VERB
fai un chat,chat,ast,verb_light_construction,VERB
facemos chat,chat,ast,verb_light_construction,VERB
facemos un chat,chat,ast,verb_light_construction,VERB
faen chat,chat,ast,verb_light_construction,VERB
faen un chat,chat,ast,verb_light_construction,VERB
faciendo chat,chat,ast,verb_light_construction,VERB
faciendo un chat,chat,ast,verb_light_construction,VERB
fechu chat,chat,ast,verb_light_construction,VERB
fechu un chat,chat,ast,verb_light_construction,VERB
chatiar,chat,ast,verb_morph_prescriptive,VERB
chatiáu,chat,ast,verb_participle_prescriptive,VERB
link,link,ast,noun_raw,NOUN
linkes,link,ast,noun_plural_native,NOUN
links,link,ast,noun_plural_english,NOUN
facer link,link,ast,verb_light_construction,VERB
facer un link,link,ast,verb_light_construction,VERB
fizo link,link,ast,verb_light_construction,VERB
fizo un link,link,ast,verb_light_construction,VERB
fai link,link,ast,verb_light_construction,VERB
fai un link,link,ast,verb_light_construction,VERB
facemos link,link,ast,verb_light_construction,VERB
facemos un link,link,ast,verb_light_construction,VERB
faen link,link,ast,verb_light_construction,VERB
faen un link,link,ast,verb_light_construction,VERB
faciendo link,link,ast,verb_light_construction,VERB
faciendo un link,link,ast,verb_light_construction,VERB
fechu link,link,ast,verb_light_construction,VERB
fechu un link,link,ast,verb_light_construction,VERB
linquiar,link,ast,verb_morph_prescriptive,VERB
linquiáu,link,ast,verb_participle_prescriptive,VERB
linkiar,link,ast,verb_morph_descriptive,VERB
