Word/Span,False positives
pdf,4
κλικ,3
chat,3
udalerria,3
click,3
superficie,2
log,2
dixital,2
vehículu,2
app,2
format,2
eskualdean,2
interface,2
tweet,2
picture,2
server,2
handia,2
númberu,2
wayback machine,2
σωλήνα,2
medicina,2
desberdinak,2
portable,2
οθόνη,2
document,2
gui,2
izen,2
da,2
xchat,2
ez,2
zen,2
irc,2
estructures,2
persones,2
tag,2
bidalitako,1
mezuak,1
link,1
behatokia,1
birziklatzeedukiontziak,1
karratu,1
edukiontzi,1
ontziak,1
ezinbesteko,1
zenbaki,1
lekuak,1
postakodeak,1
izaki,1
kondairazko,1
eskandinaviar,1
