false_positive_span,frequency
software,6
chat,4
hardware,4
app,4
cloud,3
check,3
document,3
log,3
μπλε,3
reset,3
post,3
filosofia,3
online computer,2
ocho,2
update,2
hack,2
server,2
san,2
link,2
online,2
pixel,2
truke,2
ban,2
download,2
scroll,2
bug,2
user interface,2
scan,2
interface,2
καλιφόρνια,2
μπόμπι,2
click,2
οκλαχόμα,2
κάθριν,2
dotor,1
futbolista,1
llevadura,1
alambre,1
doctor,1
doctora,1
abandonar,1
bulgaria,1
seguridá,1
tractor,1
castiella,1
llión,1
deuda,1
facilitar,1
señal,1
retrete,1
