Word/Span,False positives
software,6
hardware,4
app,4
chat,4
check,3
μπλε,3
filosofia,3
reset,3
document,3
post,3
log,3
cloud,3
scroll,2
san,2
bug,2
user interface,2
scan,2
interface,2
καλιφόρνια,2
μπόμπι,2
κάθριν,2
server,2
pixel,2
click,2
online,2
ban,2
οκλαχόμα,2
link,2
online computer,2
hack,2
update,2
truke,2
download,2
ocho,2
κάνσας,1
τερπένιο,1
document format,1
ψυχανάλυση,1
ψυχιατρική κλινική,1
klikatu,1
ντελίβερι,1
troll,1
sendmail,1
τζορτζ,1
γκερντ μίλερ,1
γκόρντον,1
ροζέ,1
σος,1
μπενίν,1
dokumentu format,1
