Word/Span,False positives
archiváu,3
gui,3
κλικ,3
estaos xuníos,3
wayback machine,3
portable document format,3
pdf,3
ciudá,2
erresuma,2
graphical user interface,2
vehículu,2
tweet,2
ολλανδίας,2
sieglu,2
semeya,2
log,2
click,2
picture element,2
alemán,2
dixital,2
estructures,2
chat,2
linux,2
izena,2
versión,2
medicina,2
oxetu,2
añu,2
norte,2
reset,2
irc,2
smtp,2
estatu,2
tierra,2
última,2
desberdinak,2
app,2
disponible,2
software,2
τζέφρεϊ,1
καλιφόρνια,1
trolley,1
atchison savings bank,1
μπενίν,1
streetcar,1
tram,1
δαχομέη,1
δυτικής,1
allocine,1
tcmdb,1
