Word/Span,False positives
pdf,4
chat,3
tag,3
click,3
κλικ,3
da,2
portable,2
udalerria,2
númberu,2
handia,2
superficie,2
document,2
format,2
vehículu,2
app,2
zen,2
izen,2
log,2
wayback machine,2
dagoen,2
tweet,2
picture,2
gui,2
persones,2
irc,2
σωλήνα,2
desberdinak,2
dixital,2
οθόνη,2
medicina,2
estructures,2
ez,2
mundial,2
n,1
hack,1
llubricante,1
slay,1
zaborposta,1
link,1
behatokia,1
birziklatzeedukiontziak,1
edukiontzi,1
ontziak,1
ezinbesteko,1
spam,1
karratu,1
juntagailuarekin,1
txeka,1
tg,1
hegan,1
